1, 2, 3, 4, 5, 6, 7, 8
9, 10, 11, 12, 13, 14, 7, 15
16, 17, 18, 19, 9, 20, 21, 5
22, 23, 15, 4, 24, 25, 26, 16
27, 10, 6, 28, 29, 30, 16, 31
32, 13, 8, 19, 34, 22, 35, 28
10, 3, 36, 37, 32, 21, 24, 38
34, 3, 15, 39, 30, 40, 20, 41
42, 43, 36, 25, 31, 34, 9, 2
44, 5, 30, 37, 25, 12, 35, 33
32, 45, 9, 27, 4, 44, 39, 46
47, 43, 35, 4, 48, 20, 49, 10
31, 18, 35, 46, 40, 24, 50, 7
8, 26, 29, 44, 40, 21, 14, 43
12, 42, 28, 4, 40, 51, 38, 17
11, 49, 31, 19, 23, 3, 51, 44
57, 30, 47, 24, 8, 9, 53, 51
37, 52, 8, 31, 17, 45, 48, 15
24, 14, 17, 1, 34, 27, 33, 49
54, 25, 17, 3, 29, 46, 13, 47
46, 49, 41, 8, 16, 55, 12, 36
32, 16, 52, 2, 33, 11, 40, 47
22, 42, 11, 46, 30, 21, 1, 48
50, 15, 42, 29, 5, 57, 49, 32
17, 22, 2, 10, 53, 41, 50, 44
26, 9, 3, 28, 48, 50, 55, 33
39, 37, 13, 43, 16, 1, 51, 50
16, 45, 35, 42, 53, 3, 14, 56
23, 28, 46, 37, 20, 57, 14, 2
54, 8, 18, 10, 42, 33, 39, 23
36, 44, 56, 47, 18, 1, 28, 15
11, 56, 20, 25, 50, 8, 27, 38
27, 42, 37, 47, 41, 7, 19, 26
13, 38, 18, 45, 26, 2, 30, 49
48, 24, 12, 2, 19, 29, 39, 56
54, 45, 28, 11, 24, 5, 41, 43
23, 53, 36, 5, 40, 13, 27, 48
56, 57, 13, 41, 31, 33, 4, 21
10, 40, 57, 25, 5, 45, 19, 1
5, 52, 26, 34, 10, 51, 56, 46
11, 18, 34, 53, 4, 29, 55, 37
24, 52, 13, 55, 42, 6, 44, 20
36, 30, 52, 54, 14, 50, 4, 19
29, 36, 20, 7, 45, 22, 51, 33
12, 22, 3, 57, 52, 43, 27, 18
2, 51, 21, 54, 55, 27, 35, 15
7, 34, 44, 48, 57, 54, 38, 16
6, 46, 43, 38, 19, 15, 33, 53
6, 47, 50, 45, 12, 34, 23, 21
35, 6, 11, 36, 39, 57, 17, 26
6, 51, 48, 25, 41, 14, 18, 32
22, 9, 6, 56, 37, 49, 54, 40
38, 1, 23, 35, 9, 29, 52, 41
7, 53, 28, 39, 52, 25, 21, 49
53, 20, 32, 54, 31, 1, 26, 12
